id,doc_name,text,req_doc_id
0-1,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Help Module,0
0-2,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Support Module,0
0-3,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Audit Module,0
0-4,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Access Module,0
0-5,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Ease of Use,0
0-6,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Usability,0
0-7,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),System Availability,0
0-8,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),Performance and Scalability,0
0-9,E-GOVERNANCE MISSION MODE PROJECT (MMP) CRIME & CRIMINAL TRACKING NETWORK AND SYSTEMS (CCTNS),System Functionality,0
1-2,GAMMA-J Web Store,Overall Description,1
1-2.4,GAMMA-J Web Store,Operating Environment,1
1-2.5,GAMMA-J Web Store,Design and Implementation Constraints,1
1-2.6,GAMMA-J Web Store,User Documentation,1
1-3,GAMMA-J Web Store,System Features,1
1-3.1,GAMMA-J Web Store,Customer Accounts,1
1-3.1.1,GAMMA-J Web Store,Description And Priority,1
1-3.1.3,GAMMA-J Web Store,Functional Requirements,1
1-3.2,GAMMA-J Web Store,Inventory Management,1
1-3.2.1,GAMMA-J Web Store,Description And Priority,1
1-3.2.3,GAMMA-J Web Store,Functional Requirements,1
1-3.3,GAMMA-J Web Store,Shopping Cart,1
1-3.3.1,GAMMA-J Web Store,Description And Priority,1
1-3.3.3,GAMMA-J Web Store,Functional Requirements,1
1-3.4,GAMMA-J Web Store,Order Confirmation,1
1-3.4.1,GAMMA-J Web Store,Description And Priority,1
1-3.4.3,GAMMA-J Web Store,Functional Requirements,1
1-3.5,GAMMA-J Web Store,Interface,1
1-3.5.1,GAMMA-J Web Store,Description And Priority,1
1-3.5.3,GAMMA-J Web Store,Functional Requirements,1
1-3.6,GAMMA-J Web Store,Plug-in API,1
1-3.6.1,GAMMA-J Web Store,Description And Priority,1
1-3.6.3,GAMMA-J Web Store,Functional Requirements,1
1-4,GAMMA-J Web Store,External Interface Requirements,1
1-4.3,GAMMA-J Web Store,WebOrder Browser Interface,1
1-4.4,GAMMA-J Web Store,Communications Interfaces,1
1-5,GAMMA-J Web Store,Quality Attribute Requirements,1
1-5.1,GAMMA-J Web Store,Performance Requirements,1
1-5.2,GAMMA-J Web Store,Safety Requirements,1
1-5.3,GAMMA-J Web Store,Security Requirements,1
1-5.4,GAMMA-J Web Store,Availability Requirements,1
1-5.5,GAMMA-J Web Store,Efficiency Requirements,1
1-5.6,GAMMA-J Web Store,Usability Requirements,1
1-5.7,GAMMA-J Web Store,Maintainability Requirements,1
1-5.8,GAMMA-J Web Store,Portability Requirements,1
1-5.9,GAMMA-J Web Store,Testability Requirements,1
1-6,GAMMA-J Web Store,Other Requirements,1
2-4,Software Requirements Specification of the IUfA's UUIS,System Description,2
2-4.1,Software Requirements Specification of the IUfA's UUIS,Permissions,2
2-5,Software Requirements Specification of the IUfA's UUIS,Functional requirements,2
2-5.1,Software Requirements Specification of the IUfA's UUIS,Transferring Assets,2
2-5.2,Software Requirements Specification of the IUfA's UUIS,Editing Assets,2
2-5.3,Software Requirements Specification of the IUfA's UUIS,Modifying assets,2
2-5.4,Software Requirements Specification of the IUfA's UUIS,Adding inventory assets,2
2-5.5,Software Requirements Specification of the IUfA's UUIS,Creating request to borrow an asset or a reserve a location,2
2-5.6,Software Requirements Specification of the IUfA's UUIS,Retuning assets D,2
2-5.7,Software Requirements Specification of the IUfA's UUIS,Creating a new location,2
2-5.8,Software Requirements Specification of the IUfA's UUIS,Approving requests,2
2-5.9,Software Requirements Specification of the IUfA's UUIS,Authentication,2
2-5.10,Software Requirements Specification of the IUfA's UUIS,Changing permission,2
2-5.11,Software Requirements Specification of the IUfA's UUIS,Output reports,2
2-6,Software Requirements Specification of the IUfA's UUIS,Non functional requirements,2
2-6.1,Software Requirements Specification of the IUfA's UUIS,Usability,2
2-6.2,Software Requirements Specification of the IUfA's UUIS,Availability,2
2-6.3,Software Requirements Specification of the IUfA's UUIS,Portability,2
2-6.4,Software Requirements Specification of the IUfA's UUIS,Security,2
2-6.5,Software Requirements Specification of the IUfA's UUIS,Maintainability,2
3-4,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Software Requirements,3
3-4.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,LPS System Requirements,3
3-4.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,System Overview,3
3-4.1.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,System Functional Overview,3
3-4.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Programmatic Requirements,3
3-4.2.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Development,3
3-4.2.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Testing,3
3-4.2.3,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Portability,3
3-4.3,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Operational Requirements,3
3-4.3.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,User-System Interface Requirements,3
3-4.3.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Training,3
3-4.3.3,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Maintenance,3
3-4.4,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Raw Data Capture Subsystem (RDCS),3
3-4.4.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.4.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.4.1.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Interface Requirements,3
3-4.4.1.3,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Detailed Functional Requirements,3
3-4.4.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Performance Requirements,3
3-4.5,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Raw Data Processing Subsystem (RDPS),3
3-4.5.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Functional Requirements,3
3-4.5.1.1,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Major Functions,3
3-4.5.1.2,Landsat 7 Processing System (LPS) GODDARD SPACE FLIGHT CENTER,Interface Requirements,3
